client_id,num_rows,num_train_windows,num_val_windows,mean_acceleration,mean_abs_acceleration,acceleration_std,profile,profile_code
53,156,97,25,0.009579930294541218,0.7655234641875648,1.0862100056097166,Aggressive,1
43,191,125,32,0.009589965266404696,0.6698705670389727,1.1402714037831418,Aggressive,1
160,473,351,88,0.010141634721311271,0.7940377505903664,1.247803138817983,Aggressive,1
104,158,99,25,0.010380454789322521,0.6575174973766694,1.0515795616071197,Aggressive,1
121,428,315,79,0.0104984551521193,0.7931247330060209,1.2425998304936452,Aggressive,1
82,456,337,85,0.010524913282374216,0.675178619696872,1.0592223930219746,Aggressive,1
154,390,284,72,0.010673406353780666,0.8290304952455039,1.294994817489208,Aggressive,1
69,444,328,82,0.011401389181089823,0.7649039191558594,1.2200157661580238,Aggressive,1
151,447,330,83,0.011614223721539255,0.9552237721649062,1.450883396105979,Aggressive,1
85,603,455,114,0.01232200541315751,0.7665312934792744,1.2105979371269366,Aggressive,1
113,504,376,94,0.012694384345781724,0.9319908692856768,1.4332256324610233,Aggressive,1
4,228,155,39,0.014250281697315651,0.7811387421130593,1.2880718686046615,Aggressive,1
122,166,105,27,0.014793027940331887,1.0191614496514054,1.5015325875440406,Aggressive,1
158,312,222,56,0.015010550331452958,0.6608482966194099,0.9758720888636163,Aggressive,1
118,333,239,60,0.015138281783101093,0.728570253399581,1.130727872128991,Aggressive,1
146,92,46,12,0.015234067645677484,0.5376826675002786,0.6879415353348872,Aggressive,1
102,158,99,25,0.015840302433309878,0.5888248763833828,0.9128373712229927,Aggressive,1
101,340,244,62,0.01703928735448682,0.7297893834944917,1.1802775464391406,Aggressive,1
5,133,79,20,0.021095690408969484,0.8147903347074706,1.243563273050774,Aggressive,1
73,341,245,62,0.021764276964656163,0.8474181204605644,1.29290159602642,Aggressive,1
100,328,235,59,0.021771024493825265,0.827455785237689,1.3154904276902384,Aggressive,1
130,183,119,30,0.022564572295387438,0.596056335802428,0.9860839359962233,Aggressive,1
78,263,183,46,0.02273092836091422,0.8801143746045057,1.3034470026463951,Aggressive,1
165,194,128,32,0.022816115385407648,0.6407723770018253,1.0052562720705036,Aggressive,1
55,335,240,61,0.023243036132779445,0.6773848024858445,1.1079845383936526,Aggressive,1
47,334,240,60,0.024794885506038884,0.951807023933494,1.4212593836769687,Aggressive,1
143,165,104,27,0.026225560294943343,0.6119613261199984,0.9815023553274868,Aggressive,1
76,223,151,38,0.02627701342201389,0.9438837618453112,1.3618655371431732,Aggressive,1
1,205,136,35,0.027495059879795686,0.7654735253101377,1.2308951791188083,Aggressive,1
109,147,90,23,0.03709793890929096,0.8104027057130109,1.3659500303002838,Aggressive,1
84,312,222,56,0.037285968494905904,0.6547737171356852,1.0138135221367743,Aggressive,1
70,224,152,38,0.03867642139285448,0.7090901023831729,1.0798634374015195,Aggressive,1
12,185,120,31,0.04295596913868942,0.7091607828917943,1.0392664002534537,Aggressive,1
124,100,52,14,0.0442654070966539,0.6999866534340196,1.1749419074842753,Aggressive,1
110,131,77,20,0.048112780667013584,0.7507351401471651,1.2336952943041963,Aggressive,1
108,85,40,11,0.0510825804347782,0.755899980188293,1.1270470382875888,Aggressive,1
103,78,35,9,0.07856880281122966,0.93518824385301,1.4123303443709512,Aggressive,1
